,Tweet_text,0
207,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
208,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
209,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
210,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
211,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
212,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
213,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
214,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
215,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
216,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
217,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
218,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
219,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
220,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
221,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
222,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
223,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
224,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
225,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
226,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
227,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
228,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
