,Tweet_text
295,stem gender gap overblown via
296,rt girlsintech: art key closing stem gender gap
297,closing stem gender
298,stem gender gap: women equivalent steve jobs? | new scientist jobs
299,latest curatedlifeca magazine & her_volution featured: closing gender gap #stem
300,great ideas! teaching spatial skills help bridge stem gender gap?
301,interesting piece finland successfully closing #stem gender gap:
302,finland solving gender gap science education
303,three colleges work close stem gender gap stem gender gap shows signs closing.
304,#stem gender gap science achievement closing younger students.
305,learn california physics teacher worked address gender gap stem public school:
306,interviewed pisa results gender gap. girls performing better stem fields finland.
307,art key closing stem gender gap
308,"great roundup #science blog posts here: #stem gender gap, #personalizedlearning through
 #edtech, #culturalcompetency"
309,"change way teach #stem, close #tech gender gap, says founder girlswhocode \xe2\x96\xba via"
310,stem gender gap 6 college majors 1970 2011 using python matplotlib high data-ink
311,#catalyst closing stem gender gap . read blog:
312,entrepreneurind awesome article! agree it's crucial women & men work together close #gender gap
313,"study finds reasons stem gender gap- girls lack pre-college experience, confidence gap, masculine culture"
314,art key closing stem gender gap
315,educators must develop inclusive atmosphere help close #stem gender gap. via
316,new blog closing #stem gender gap offers concrete strategies transforming male-dominated cultures.
317,'boys better math' mindset causes stem gender gap
318,it's fulfilling part group fill gender gap #stem/#steam
319,snbhatia swetalk sweboston read snbhatia closing gender gap stem via
320,encouraging see universities making great strides toward overcoming gender gap
321,"women stem! (11,000 dominoes) \xe2\x80\xa6 #womeninstem lets close gender gap stem education"
322,"gender
 toys could deter girls career engineering, report says brits see gender gap stem careers"
323,it\xe2\x80\x99s improvement - women closing gender gap
324,stem education blight gender
325,\xe2\x80\xa6 stem bridging gender gap applied spatial
326,bay area public universities join forces address #stem gender gap. #sjsu #sfsu #berkeley #siliconvalley
327,great news! sfsu sjsu tackle u.s. tech workforce skill & gender gap 'technology pathways initiative!'
328,closing #stem #gender gap -
329,bridging gender gap stem fields - sub-saharan africa via
330,let's disrupt stem world bridging digital gender gap! bringing etwdallas follow
331,great article unsung hero apollo 11 gender gap stem needs addressed
332,woman helped land first man moon--and pioneered software industry glennleibowitz
333,young girls closing gender gap #stem
334,"ted rayburn: state's stem suffers baffling gender gap | colorado springs gazette, news"
335,#catalyst closing stem gender gap . read blog:
336,check new blog post closing gender gap #stem.
337,making science tech attractive: art key closing #stem gender gap
338,new utah #womeninstem report utwomenleaders utah stem gender gap high?
339,teaching spatial skills help bridge stem gender gap?
340,art key closing stem gender
341,"change way teach #stem, close #tech gender gap, says founder girlswhocode \xe2\x96\xba via"
