,Tweet_text
188,#packaging & #processing women's leadership network news: opportunities women #stem
189,jodie rummer says visibility leadership key inspiring women go stem fields stay
190,gender parity: career advice women stem #leadership via
191,". industryweek shares need #women manufacturing levels, especially #leadership."
192,applaud monsantoco efforts highlight women leaders. need women stem leadership positions across science
193,proud women leaders monsanto #ywcastl
194,go high 2017. woman power conference. sustaining leadership & growth.
195,want live & lead better? got covered. sign w/o missing
196,"you\'ve got see it. expose girls women different leadership roles, especially male-dominated fields"
197,"ceos adopt five-step plan advance #women corporate #leadership, work?"
198,pauldaugh alastair_blair thanks paul support leadership advancing women
199,"achieving women meet, mingle & make happen! join us, we're saving seat you!\n\n#cleveland #workingwomen #stem #leadership"
200,"#women, collaboration & #leadership - research forbes #stem #tech #corporateculture"
201,funding awarded highlight leadership opportunities women stem
202,background #stem drive women top #womenintech #leadership #code4girlz via fortunemagazine
203,"one biggest obstacles facing women workplace, especially #stem careers \xe2\x80\xa6 #womenintech #leadership"
204,osp excited release! check important #women #stem! #goals #diversity #leadership
205,celebration release movie hidden figures vanityfair profiles notable & diverse figures s.t.e.m.
206,"ksu polytechnic's dean honored support, leadership women stem _ local news _ ... -"
207,"get women involved tech industries stem, get leadership"
208,mastercard's karen lee looks lead charge encouraging next generation girls stem 2016 women leadership summit
209,"women #stem, part one. #ladyleaders #leadership"
210,#women #stem apply #techwomen 4 #leadership & #entrepreneurship #mentorship akirachix
211,importance women stem lead \xe2\x80\xa6 womenleadlab
212,inspiring women leadership: blacks tech - la b~stem project inspiring women leadership. lead\xe2\x80\xa6
213,2016 sa women's leadership winner jacqui mcgill women stem 2017 nominations open
214,$agrx cmo dr. beth garner co-moderating bionj_org courageous leadership session inspiring women #stem
215,background #stem drive women top via fortunemagazine
216,"share #research #women, #leadership, clan culture & collaboration #techonomics kgo810 kgojason #stem"
217,"congratulations
 becky_sage, winner innovateuk women innovation infocus award, inspiring women #stem #entreprenuership #leadership"
218,#bristol-based #entrepreneur becky_sage wins innovateuk infocus awards nanosimbox
219,"women leaders making fun using math help complex, statistics-informed policy decisions,"
220,"amazing girlsintech #givegit fundraiser. raising funds support women stem & tech leadership. go adrianna & get
"
221,skillsdevscot equatescotland encouraging #women #stem modern apprenticeship workshop glasgowcitycoll #mentoring #leadership
222,"#women, collaboration & #leadership - research forbes #stem #tech #corporateculture"
223,#women make small percentage #stem professionals
224,"see cleveland, ohio we're sustaining leadership! calling achieving"
225,background stem drive women top fortunemagazine #stem #womeninstem #leadership
226,women putting work first \xe2\x80\x98still held back stem careers\xe2\x80\x99
227,three solutions problems women\xe2\x80\x99s stem careers leadership.\n
228,women #stem especially leadership roles. inspire next generation.
229,half nasa's newest astronaut class women.
230,support women's stem leadership development #givingtuesday uottawa pledged match donations $500
231,women stem careers ecsu. yessss!!!! working towards heritage collegiate leadership...
232,future women lead stem - build leadership capacity? womenleadershiplab focused solving global
233,#women make small percentage #stem professionals #leadership #education
234,we've built digital platform achieving women sign
235,thanks wonderful insight & leadership jenny_stem #women #womeninscience
236,#stemeducation museum!\n\nthese museum youth leaders young women's stem leadership...
237,gender parity: career advice women stem #leadership via
238,women science pledge combat hate: \xe2\x80\xa6 via
239,support: women science & leadership antarctic expedition - help make
240,women place table leadership technology engineering - breaking glass ceiling. cmu_rwanda #womenintech #stem
241,looking forward moderating #gittalks panel: women stem leadership evening
242,"congratulations
 chicgeekyyc kylietoh part international visitor\xe2\x80\x99s leadership program rep canada tour women"
243,"guest panelist, priyankakomala says, see tonight women stem leadership #gittalks"
244,wish initiatives designed get women stem encourage us leadership roles would stop referring us
245,51% clark college #stem faculty women. leadership stem education #vanwa good pnw
246,"thoughtful perspective recent events strong scientific leadership women science
 #stem gerbilocity"
247,election reflections: women science \xe2\x80\xa6 silentspringins edfhealth ddolinoy ucsf_prhe
248,"#gittalks: women stem leadership panelists priyankakomala with
 thenasem, & dr. margaret hurwitz with
 nasagoddard. join us"
249,new alberta community grant program aims help improve live women girls
250,women stem - you! #teaching stem #diversity #leadership
251,"#women, collaboration & #leadership - research forbes nancyfclark #stem #fridayreads #corporateculture"
252,read report gender equity co\xe2\x80\x99s stem industries strategies supporting women
253,women technology gather geeky summit calgary
254,"#it #events liquidlearning\nthe fifth
 #women #ict #leadership summit 2017"
255,glaring reality stem needs women u.s. economy hopes retain leadership digital innovation.
256,"apply now! research & leadership training kunews undergraduate women #stem november
 29th #kujayhawks aauw"
257,"congratulations
 students won competition attend ieee-wie global women stem leadership summit, thanks support"
258,15 important jobs #women yet hold us #business #business #wit #stem #leadership
259,excellent leadership loreal recognizing stem society needs women science sciencemin canfirst frc771 ryscidean
